study,trial,value,best_so_far
ABC-embedded-parallel_p1_0_10_30,5,0.006243222513803151,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,6,0.002352322991531129,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,7,0.005306905147100093,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,8,0.0057527766617237,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,9,0.004333281751355179,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,10,0.0031590543112457823,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,11,0.0028265020575391243,0.0064545354872375645
ABC-embedded-parallel_p1_0_10_30,12,0.00744072883754481,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,13,0.0015708046140059614,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,14,0.0041731726562011335,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,15,0.0038028206772927338,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,16,0.005090372112706605,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,17,0.0049770731140801406,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,18,0.004274395195812461,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,19,0.002235652537051185,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,20,0.004677834491403831,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,21,0.0023813720755937297,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,22,0.004306165507497902,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,23,0.0064670963529895,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,24,0.0047328433067444385,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,25,0.0020896456186542357,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,26,0.006014161819725817,0.00744072883754481
ABC-embedded-parallel_p1_0_10_30,27,0.012771096053470848,0.012771096053470848
ABC-embedded-parallel_p1_0_10_30,28,0.009299543754873851,0.012771096053470848
ABC-embedded-parallel_p1_0_10_30,29,0.004279531785335363,0.012771096053470848
ABC-embedded-parallel_p1_0_10_30,30,0.014198159037468301,0.014198159037468301
ABC-embedded-parallel_p1_0_10_30,31,0.01128568991937841,0.014198159037468301
ABC-embedded-hierarchical_s0_s10_s30,0,0.22533464455361846,0.22533464455361846
ABC-embedded-hierarchical_s0_s10_s30,1,0.23806455045740887,0.23806455045740887
ABC-embedded-hierarchical_s0_s10_s30,2,0.21715220759838277,0.23806455045740887
ABC-embedded-hierarchical_s0_s10_s30,3,0.30139038368725146,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,4,0.21010727912838253,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,5,0.21391093719013213,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,6,0.29044247165390413,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,7,0.22434605921838174,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,8,0.11785021143544143,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,9,0.23906962100393406,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,10,0.0393178091859989,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,11,0.26259336999323046,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,12,0.28417539847374185,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,13,0.21799071519175,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,14,0.2875860750672862,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,15,0.220213592846292,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,16,0.2836304890392164,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,17,0.2085471253445237,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,18,0.28860389715774315,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,19,0.22217223317785667,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,20,0.21015609813221992,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,21,0.27898864273746626,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,22,0.29362428237050775,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,23,0.20646087016760178,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,24,0.28484323412705914,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,25,0.2080662396739265,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,26,0.26588574808257814,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,27,0.2604614694773675,0.30139038368725146
ABC-embedded-hierarchical_s0_s10_s30,28,0.3144827697460661,0.3144827697460661
ABC-embedded-hierarchical_s0_s10_s30,29,0.2751640619501067,0.3144827697460661
ABC-embedded-hierarchical_s0_s10_s30,30,0.3237651287392487,0.3237651287392487
ABC-embedded-hierarchical_s0_s10_s30,31,0.3098580033431523,0.3237651287392487
ABC-embedded-tied_s0_s10_s30,0,0.1087824897811845,0.1087824897811845
ABC-embedded-tied_s0_s10_s30,1,0.22547356361406778,0.22547356361406778
ABC-embedded-tied_s0_s10_s30,2,0.2709275727702561,0.2709275727702561
ABC-embedded-tied_s0_s10_s30,3,0.35682971996790763,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,4,0.22620495658624762,0.35682971996790763
