seed,r2_teacher_forced,nrmse_teacher_forced,teacher_forced_ok,mse_150,nrmse_150,r2_150,mse_1000,nrmse_1000,r2_1000,valid_prediction_time,valid_threshold,diverged,out_of_range_fraction,grid_clamps,model,series,n_aux,device,seconds
7,0.9618151434404232,0.1954094587259706,False,0.028863812555265097,0.6957869297324504,0.5158805484134903,0.11893479310963953,1.364029806383375,-0.8605773127022673,1,0.1,False,0.132,0,ABC-noaux-kraus,MG_standard,0,cpu,5.947106599807739
7,0.9996837274664783,0.017784052786745955,True,0.018889992052852557,0.5628793369172655,0.6831668520715795,0.12766147943893216,1.4131860323732162,-0.9970947620947526,43,0.1,False,0.015,0,ABC-noaux-tied,MG_standard,0,cpu,6.10675835609436
7,0.9618151434404232,0.1954094587259706,False,0.028863812555265097,0.6957869297324504,0.5158805484134903,0.11893479310963953,1.364029806383375,-0.8605773127022673,1,0.1,False,0.132,0,ABC-noaux-hierarchical,MG_standard,0,cpu,6.085420846939087
7,0.8739567928512507,0.3550256429453361,False,0.11269801539951425,1.3748570743613444,-0.8902319749214356,0.12337212627893157,1.3892420642291583,-0.9299935130236927,2,0.1,False,0.018,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.329361915588379
8,0.9979860661587747,0.04487687423635084,True,1.693598304069928,5.329722821567279,-27.405945354735078,4.535329962698224,8.423136610580864,-69.94923036050768,8,0.1,True,0.811,0,M0-noaux,MG_standard,0,cpu,2.526984214782715
8,0.9781984461247385,0.14765349259418645,False,0.26700538421161973,2.116213244382611,-3.4783584957003777,0.527118322256613,2.8715967682805137,-7.24606799959909,4,0.1,False,0.597,0,AB-noaux-kraus,MG_standard,0,cpu,3.9969332218170166
8,0.9611786329414859,0.1970313859731849,False,1.5130882049182848,5.03769118648254,-24.37833249036386,3.0822018296321985,6.943843700896845,-47.21696534248479,1,0.1,False,0.921,0,ABC-noaux-kraus,MG_standard,0,cpu,5.017662286758423
8,0.9995713289536141,0.020704372639273237,True,0.026921314895185063,0.6719663918820061,0.5484611681810783,0.024229518172313665,0.6156612059807258,0.6209612794503583,42,0.1,False,0.004,0,ABC-noaux-tied,MG_standard,0,cpu,5.424349546432495
8,0.9611786329414859,0.1970313859731849,False,1.5130882049182848,5.03769118648254,-24.37833249036386,3.0822018296321985,6.943843700896845,-47.21696534248479,1,0.1,False,0.921,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.0394439697265625
8,0.9049422056272061,0.3083144407464462,False,0.09468046914135977,1.2601714006480071,-0.5880319590111602,0.1210338068287358,1.3760136635433593,-0.8934136022580172,1,0.1,False,0.02,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,2.980032205581665
