seed,omega,nonmarkovianity,mean_trace_distance,max_trace_distance,final_trace_distance,steps,seconds
66,0.0,0.15127178735717095,0.02897491775659057,0.969038188457489,6.302652622025562e-08,1000,3.015791893005371
67,1.0,5.558105054426221e-06,0.001973713197695286,0.9587188959121704,6.415187492336827e-09,1000,13.551437616348267
67,0.5,5.881304643295948e-06,0.004048572266676406,0.9587187170982361,7.109074573463658e-08,1000,7.998523473739624
67,0.0,1.3979884632967554,0.036845789432985686,0.9587189555168152,6.799919560762646e-08,1000,3.1202995777130127
68,1.0,5.8878726389988145e-06,0.0015957353867468173,0.9100556373596191,5.201161279444477e-09,1000,7.965209245681763
68,0.5,5.935951548519114e-06,0.0029506142997867088,0.9100558161735535,4.006024667546626e-08,1000,10.951833486557007
68,0.0,0.45795901070667355,0.03150546824741881,0.9100556373596191,9.804583100958553e-08,1000,8.2855064868927
69,1.0,5.8924544670269086e-06,0.0016521364822823824,0.9125113487243652,1.2358886358754262e-08,1000,16.596188068389893
69,0.5,6.122753171133866e-06,0.00333394027398038,0.9125113487243652,9.749836493710973e-09,1000,18.5864474773407
69,0.0,0.9431739069229081,0.040674907700570626,0.9125112295150757,1.5131305985960353e-07,1000,4.7796630859375
70,1.0,5.6560799970295506e-06,0.0015758070479508113,0.8714195489883423,2.632052087392367e-08,1000,17.66216540336609
70,0.5,5.4880716806593455e-06,0.0031763413614574105,0.8714196681976318,4.080736104583593e-08,1000,16.959590911865234
70,0.0,0.668717867336305,0.031975586503158716,0.8816777467727661,6.664677698609012e-08,1000,7.090673208236694
71,1.0,5.547881884115924e-06,0.0017987698469115018,0.9511293172836304,9.828563740654772e-09,1000,16.19296360015869
71,0.5,6.06718838946918e-06,0.003604672915748559,0.9511290788650513,2.0410562129313803e-08,1000,10.541476249694824
71,0.0,0.15786165036679023,0.025379513869846278,0.9528614282608032,4.322544100432424e-08,1000,5.945369482040405
72,1.0,5.254347451799646e-06,0.0016253496950535892,0.918979287147522,9.948886159349968e-09,1000,18.8480064868927
72,0.5,5.93777945745444e-06,0.003140121007504999,0.9189791679382324,1.3834291046066483e-08,1000,13.097152948379517
72,0.0,0.03605953651356231,0.018361016969609692,0.918979287147522,4.6482131921266046e-08,1000,5.101705074310303
73,1.0,5.65367831573127e-06,0.0015494883341006297,0.8737202286720276,3.1256220722752914e-08,1000,14.436794996261597
73,0.5,5.693999476363842e-06,0.0030023889716455933,0.8737201690673828,1.0338216505090259e-08,1000,11.88339376449585
