architecture,task,trial,value,state,omega,eta
AB-embedded,p1_0_10_30,51,0.011680218615494339,TrialState.COMPLETE,0.18690375382162167,0.2586006231417083
AB-embedded,p1_0_10_30,52,0.00997985859723222,TrialState.COMPLETE,0.23184295798643784,0.314572281810385
AB-embedded,p1_0_10_30,53,0.004209204476254526,TrialState.COMPLETE,0.09784222783072954,0.12491666706821403
AB-embedded,p1_0_10_30,54,0.006024936930682992,TrialState.COMPLETE,0.1653369808443818,0.42208455194365535
AB-embedded,p1_0_10_30,55,0.0037561209610294114,TrialState.COMPLETE,0.05029528657135815,0.34819179970838326
AB-embedded,p1_0_10_30,56,0.007516054367918192,TrialState.COMPLETE,0.2675713005980094,0.2590354378913139
AB-embedded,p1_0_10_30,57,0.0019963047224990276,TrialState.COMPLETE,0.1186220844092444,0.518805439384217
AB-embedded,p1_0_10_30,58,0.008984228948538873,TrialState.COMPLETE,0.03624195022743423,0.17507420718845376
AB-embedded,p1_0_10_30,59,0.01133776197691376,TrialState.COMPLETE,0.17622872559815886,0.2973793701463391
AB-embedded,p1_0_10_30,60,0.004041675757302502,TrialState.COMPLETE,0.3015530090285697,0.10978346775199865
AB-embedded,p1_0_10_30,61,0.014170497566893267,TrialState.COMPLETE,0.10598134959081039,0.25615955606613167
AB-embedded,p1_0_10_30,62,0.01412068170628187,TrialState.COMPLETE,0.08393579134537528,0.23071121489371377
AB-embedded,p1_0_10_30,63,0.013271199641258783,TrialState.COMPLETE,0.07986715235629194,0.21304286549629686
AB-embedded,s0_s10_s30,0,0.1597591488088957,TrialState.COMPLETE,0.3745401188473625,1.4483071096990625
AB-embedded,s0_s10_s30,1,0.24304215053642794,TrialState.COMPLETE,0.7319939418114051,0.9305046995616021
AB-embedded,s0_s10_s30,2,0.30491554386736436,TrialState.COMPLETE,0.15601864044243652,0.2794361675106186
AB-embedded,s0_s10_s30,3,0.3322718276013211,TrialState.COMPLETE,0.05808361216819946,1.3239686935631354
AB-embedded,s0_s10_s30,4,0.23994462483927687,TrialState.COMPLETE,0.6011150117432088,1.0914305465266174
AB-embedded,s0_s10_s30,5,0.11163790591265448,TrialState.COMPLETE,0.020584494295802447,1.4765398478820424
AB-embedded,s0_s10_s30,6,0.2990071361902382,TrialState.COMPLETE,0.8324426408004217,0.36230758402050356
AB-embedded,s0_s10_s30,7,0.307453987700121,TrialState.COMPLETE,0.18182496720710062,0.31975067941004887
AB-embedded,s0_s10_s30,8,0.3175400351753914,TrialState.COMPLETE,0.3042422429595377,0.8218098321066927
AB-embedded,s0_s10_s30,9,0.26376009272974643,TrialState.COMPLETE,0.43194501864211576,0.478338749658916
AB-embedded,s0_s10_s30,10,0.23501548064748737,TrialState.COMPLETE,0.9522541012238168,0.058820634662532845
AB-embedded,s0_s10_s30,11,0.32175966536532546,TrialState.COMPLETE,0.2979823258681905,0.8688749976158155
AB-embedded,s0_s10_s30,12,0.27373456111595873,TrialState.COMPLETE,0.00922651353140528,1.1826086594362244
AB-embedded,s0_s10_s30,13,0.3305671557649906,TrialState.COMPLETE,0.19286705850421376,0.6879108167790692
AB-embedded,s0_s10_s30,14,0.3785812096061364,TrialState.COMPLETE,0.16061385064628642,0.6083205268582204
AB-embedded,s0_s10_s30,15,0.23063846247810377,TrialState.COMPLETE,0.536700001973974,1.2237458651425972
AB-embedded,s0_s10_s30,16,0.37289531964280537,TrialState.COMPLETE,0.10554928326814142,0.5636509922661596
AB-embedded,s0_s10_s30,17,0.36518060042607325,TrialState.COMPLETE,0.14156330794828348,0.6274624098120064
AB-embedded,s0_s10_s30,18,0.37316078724551793,TrialState.COMPLETE,0.2655594715273242,0.5617829980550227
AB-embedded,s0_s10_s30,19,0.23887920490580278,TrialState.COMPLETE,0.2669910729453694,0.08799583893587504
AB-embedded,s0_s10_s30,20,0.2278443353501125,TrialState.COMPLETE,0.46475420395238903,0.7459519230828414
AB-embedded,s0_s10_s30,21,0.3720758372185071,TrialState.COMPLETE,0.10210495988843404,0.5629529976771399
AB-embedded,s0_s10_s30,22,0.3005489540830532,TrialState.COMPLETE,0.23066105870212442,0.4844132578525869
AB-embedded,s0_s10_s30,23,0.24551066548153014,TrialState.COMPLETE,0.3200233836990856,0.9983614350965313
AB-embedded,s0_s10_s30,24,0.2776195997737442,TrialState.COMPLETE,0.10491564366720438,0.44520330060746766
